,text,label
0,I feel unhappy these days,0
1,I feel stressed these days,0
2,I feel confused these days,0
3,I feel worried these days,0
4,I feel anxious these days,0
5,I feel frustrated these days,0
6,I feel discontented these days,0
7,I feel hopeless these days,0
8,I feel irate these days,0
9,I feel melancholic these days,0
10,Sometimes I just want to be alone,0
11,Sometimes I just want to escape,0
12,Sometimes I just want to cry,0
13,Sometimes I just want to scream,0
14,Sometimes I just want to sleep,0
15,Sometimes I just want to hide,0
16,Sometimes I just want to relax,0
17,Sometimes I just want to reflect,0
18,Sometimes I just want to read,0
19,Sometimes I just want to meditate,0
20,I'm not sure who I can talk to about my problems,0
21,I'm not sure who I can talk to about my feelings,0
22,I'm not sure who I can talk to about my thoughts,0
23,I'm not sure who I can talk to about my confusion,0
24,I'm not sure who I can talk to about my life,0
25,I'm not sure who I can talk to about my challenges,0
26,I'm not sure who I can talk to about my decisions,0
27,I'm not sure who I can talk to about my dilemmas,0
28,I'm not sure who I can talk to about my responsibilities,0
29,I'm not sure who I can talk to about my opportunities,0
30,Feeling unhappy has become a daily struggle for me,0
31,Feeling stressed has become a daily struggle for me,0
32,Feeling confused has become a daily struggle for me,0
33,Feeling worried has become a daily struggle for me,0
34,Feeling anxious has become a daily struggle for me,0
35,Feeling frustrated has become a daily struggle for me,0
36,Feeling discontented has become a daily struggle for me,0
37,Feeling hopeless has become a daily struggle for me,0
38,Feeling irate has become a daily struggle for me,0
39,Feeling melancholic has become a daily struggle for me,0
40,I need some time to be alone because of my problems,0
41,I need some time to be alone because of my feelings,0
42,I need some time to be alone because of my thoughts,0
43,I need some time to be alone because of my confusion,0
44,I need some time to be alone because of my life,0
45,I need some time to be alone because of my challenges,0
46,I need some time to be alone because of my decisions,0
47,I need some time to be alone because of my dilemmas,0
48,I need some time to be alone because of my responsibilities,0
49,I need some time to be alone because of my opportunities,0
50,I need some time to escape because of my problems,0
51,I need some time to escape because of my feelings,0
52,I need some time to escape because of my thoughts,0
53,I need some time to escape because of my confusion,0
54,I need some time to escape because of my life,0
55,I need some time to escape because of my challenges,0
56,I need some time to escape because of my decisions,0
57,I need some time to escape because of my dilemmas,0
58,I need some time to escape because of my responsibilities,0
59,I need some time to escape because of my opportunities,0
60,I need some time to cry because of my problems,0
61,I need some time to cry because of my feelings,0
62,I need some time to cry because of my thoughts,0
63,I need some time to cry because of my confusion,0
64,I need some time to cry because of my life,0
65,I need some time to cry because of my challenges,0
66,I need some time to cry because of my decisions,0
67,I need some time to cry because of my dilemmas,0
68,I need some time to cry because of my responsibilities,0
69,I need some time to cry because of my opportunities,0
70,I need some time to scream because of my problems,0
71,I need some time to scream because of my feelings,0
72,I need some time to scream because of my thoughts,0
73,I need some time to scream because of my confusion,0
74,I need some time to scream because of my life,0
75,I need some time to scream because of my challenges,0
76,I need some time to scream because of my decisions,0
77,I need some time to scream because of my dilemmas,0
78,I need some time to scream because of my responsibilities,0
79,I need some time to scream because of my opportunities,0
80,I need some time to sleep because of my problems,0
81,I need some time to sleep because of my feelings,0
82,I need some time to sleep because of my thoughts,0
83,I need some time to sleep because of my confusion,0
84,I need some time to sleep because of my life,0
85,I need some time to sleep because of my challenges,0
86,I need some time to sleep because of my decisions,0
87,I need some time to sleep because of my dilemmas,0
88,I need some time to sleep because of my responsibilities,0
89,I need some time to sleep because of my opportunities,0
90,I need some time to hide because of my problems,0
91,I need some time to hide because of my feelings,0
92,I need some time to hide because of my thoughts,0
93,I need some time to hide because of my confusion,0
94,I need some time to hide because of my life,0
95,I need some time to hide because of my challenges,0
96,I need some time to hide because of my decisions,0
97,I need some time to hide because of my dilemmas,0
