username,age,gender,type_of_consulting,consulting_content,sentiment,the_consultant
lisa00,39,Female,Financial,Tax optimization,0.63,Human
frances41,23,Female,Business,Marketing strategies,0.92,Human
davisheather,65,Female,Business,Leadership and management,0.06,AI
christinerivera,52,Female,Business,Leadership and management,0.71,Human
xlove,20,Male,Lifestyle,Home organization hacks,0.46,AI
samuel35,34,Male,Business,Marketing strategies,0.16,AI
ryanmorales,68,Female,Business,Marketing strategies,0.94,Human
wthompson,51,Female,Lifestyle,Home organization hacks,0.91,Human
michael59,53,Male,Personal,Career coaching,0.66,AI
john76,29,Male,Health,Chronic illness management,0.99,AI
bbishop,31,Male,Personal,Career coaching,0.8,Human
margaretglass,29,Male,Technology,Software development tips,0.82,AI
jonathanvaldez,50,Male,Financial,Tax optimization,0.3,Human
ruizpam,60,Male,Financial,Budgeting and saving,0.14,Human
mullinsdanielle,47,Female,Personal,Stress management techniques,0.77,Human
belindaperry,45,Other,Lifestyle,Sustainable living tips,0.85,Human
jhiggins,43,Other,Lifestyle,Sustainable living tips,0.45,AI
jamesbarnes,30,Other,Technology,Software development tips,0.49,Human
lewisbrian,44,Other,Personal,Career coaching,0.22,AI
lori86,47,Female,Personal,Career coaching,0.37,AI
cindycarroll,53,Female,Financial,Budgeting and saving,0.73,AI
bweber,35,Female,Health,Exercise routines,0.71,AI
wagnerjeffrey,48,Male,Health,Chronic illness management,0.86,AI
deankatelyn,44,Male,Business,Leadership and management,0.63,AI
sarahbutler,20,Male,Lifestyle,Personal development,0.98,Human
kbrown,44,Male,Personal,Life goal planning,0.81,Human
hansonnathan,44,Male,Health,Dietary advice,0.73,AI
christinaking,20,Other,Personal,Life goal planning,0.28,AI
samantha94,69,Other,Personal,Career coaching,0.76,Human
audreygonzalez,37,Other,Health,Mental wellness,0.49,Human
apeterson,56,Female,Personal,Stress management techniques,0.88,Human
anthonykelley,67,Male,Health,Exercise routines,0.87,AI
hparks,50,Other,Technology,Software development tips,0.07,Human
mullinsjessica,61,Female,Personal,Career coaching,0.33,AI
paul38,34,Male,Personal,Relationship advice,0.93,Human
frankchurch,30,Male,Personal,Life goal planning,0.17,AI
christopherking,60,Female,Personal,Career coaching,0.79,Human
flynnrachel,37,Female,Technology,Software development tips,0.71,AI
parkangela,68,Male,Financial,Tax optimization,0.87,AI
joyschmidt,20,Male,Financial,Investment strategies,0.95,AI
bjohnson,34,Female,Financial,Tax optimization,0.88,AI
twu,47,Other,Health,Dietary advice,0.82,AI
hedwards,49,Female,Financial,Budgeting and saving,0.01,Human
briansnyder,37,Male,Health,Mental wellness,0.56,Human
angela93,23,Male,Technology,Cybersecurity best practices,0.13,Human
elliottnathan,70,Male,Personal,Stress management techniques,0.3,AI
qgross,67,Female,Health,Dietary advice,0.11,Human
whitekevin,60,Male,Business,Leadership and management,0.93,Human
dwilliams,70,Female,Business,Leadership and management,0.62,AI
kristineraymond,53,Female,Technology,Cybersecurity best practices,0.76,AI
kharris,39,Female,Financial,Retirement planning,0.55,Human
uhamilton,70,Female,Business,Starting a small business,0.91,Human
alexanderalyssa,49,Female,Lifestyle,Travel planning,0.67,AI
dbullock,54,Female,Lifestyle,Sustainable living tips,0.92,Human
goodmansherry,28,Female,Technology,Emerging tech trends,0.52,Human
robertestes,68,Male,Lifestyle,Personal development,0.53,AI
padillamark,59,Male,Health,Dietary advice,0.77,AI
christinagardner,27,Male,Business,Marketing strategies,0.5,AI
joelgarner,48,Other,Health,Dietary advice,0.85,AI
sonyadeleon,42,Male,Lifestyle,Home organization hacks,0.91,Human
brian64,58,Female,Health,Mental wellness,0.3,Human
ojohnson,43,Male,Lifestyle,Home organization hacks,0.48,AI
mallorymcpherson,19,Female,Personal,Life goal planning,0.92,Human
owensmichael,36,Male,Health,Dietary advice,0.71,AI
thompsonroberta,44,Male,Personal,Career coaching,0.4,AI
tiffanyrichards,46,Other,Financial,Budgeting and saving,0.0,Human
maria77,40,Other,Financial,Investment strategies,0.68,Human
rbeltran,23,Other,Technology,Gadget recommendations,0.98,AI
cynthia07,61,Other,Technology,Emerging tech trends,0.96,AI
sfloyd,18,Male,Personal,Career coaching,0.02,AI
mriley,49,Other,Business,Starting a small business,0.74,Human
